episode,episode_length,episode_reward,frame,step,total_time
489.0,21.3,13.964969481537164,10017,10017.0,212.0356307029724
975.0,24.9,16.95120688575559,20013,20013.0,515.0076184272766
1367.0,25.1,20.230884092288576,30023,30023.0,813.7747187614441
1722.0,26.2,20.801495061006936,40017,40017.0,1114.2439312934875
2056.0,28.8,22.821720701888978,50011,50011.0,1413.239586353302
2392.0,29.8,21.62165314024718,60016,60016.0,1712.6857225894928
2725.0,30.0,24.418719546413904,70021,70021.0,2010.8053731918335
3037.0,30.5,25.90577693503094,80013,80013.0,2263.324125289917
3323.0,31.6,26.1453312416617,90018,90018.0,2512.198935985565
3598.0,36.9,30.44765798488404,100026,100026.0,2760.930813550949
3864.0,39.8,32.31642050936044,110015,110015.0,3011.257597208023
4112.0,42.3,33.72415004829237,120026,120026.0,3264.712005138397
4354.0,39.7,32.456221371528244,130004,130004.0,3519.4337334632874
4587.0,43.3,32.738506653654774,140006,140006.0,3769.596962451935
4807.0,49.0,37.37265996140326,150009,150009.0,4028.6267561912537
5024.0,48.5,35.65931835372138,160009,160009.0,4284.275907039642
5232.0,47.4,34.15451091756038,170049,170049.0,4541.333532810211
5439.0,48.1,35.87636146669107,180046,180046.0,4797.8104596138
5652.0,42.2,33.20293011704291,190030,190030.0,5052.229376316071
5863.0,47.4,34.76411448821823,200026,200026.0,5306.791561841965
6081.0,47.7,35.095542707126974,210046,210046.0,5562.169405698776
6287.0,46.5,35.319286828123055,220019,220019.0,5814.478687763214
6496.0,48.3,37.26864953583107,230030,230030.0,6072.038479804993
6704.0,48.5,38.591715704808685,240018,240018.0,6325.251523971558
6909.0,45.2,35.31404868973762,250036,250036.0,6586.122786521912
7118.0,41.5,35.952983653353414,260002,260002.0,6839.462822675705
7330.0,49.7,36.48135466525862,270021,270021.0,7094.97987818718
7537.0,49.0,37.33866654440963,280013,280013.0,7350.406175136566
7753.0,46.0,36.51177505248121,290044,290044.0,7604.334677934647
7970.0,47.4,37.34345074883807,300030,300030.0,7860.143355131149
8183.0,49.7,38.65353766390452,310002,310002.0,8112.745044469833
8394.0,51.0,39.49758120295016,320035,320035.0,8372.057667255402
8602.0,52.4,39.8211862973551,330046,330046.0,8636.508646965027
8805.0,44.9,36.09702407954194,340007,340007.0,8890.740028142929
9007.0,47.0,38.376835931090895,350021,350021.0,9149.281887054443
9213.0,50.2,38.835034942015184,360012,360012.0,9399.404945135117
9421.0,47.1,37.04247378797438,370031,370031.0,9656.893573760986
9630.0,42.7,34.25971308337617,380033,380033.0,9911.405043840408
9833.0,39.5,32.535657377489976,390056,390056.0,10169.759780168533
10040.0,47.3,39.64409146462161,400034,400034.0,10431.601293802261
10243.0,51.0,39.32076631629271,410007,410007.0,10682.994914531708
10445.0,50.7,38.25324228912565,420015,420015.0,10937.480989456177
10643.0,52.7,40.66612766092914,430012,430012.0,11193.29547715187
10843.0,58.7,41.26060554811751,440023,440023.0,11449.892420768738
11035.0,53.3,38.90706375364836,450056,450056.0,11710.858016252518
11229.0,53.6,42.59220932453273,460014,460014.0,11976.70153260231
11422.0,49.4,36.36813695075149,470035,470035.0,12234.49030160904
11613.0,57.2,41.6775432382062,480035,480035.0,12491.427649021149
11806.0,51.9,39.33061126035939,490051,490051.0,12748.585365533829
11998.0,50.4,38.081794265286284,500038,500038.0,13002.513873815536
12187.0,53.2,41.373353427204535,510046,510046.0,13260.541103839874
12376.0,49.5,39.35565757068798,520023,520023.0,13516.070851802826
12567.0,55.4,42.56716567167987,530041,530041.0,13770.994671583176
12753.0,49.3,38.723513583399736,540003,540003.0,14027.808828353882
12941.0,57.1,40.76162359643501,550002,550002.0,14279.58959388733
13132.0,59.4,43.260059279143334,560056,560056.0,14541.358199834824
13320.0,52.4,41.10097379373995,570031,570031.0,14802.163110017776
13504.0,57.9,43.34361741655892,580027,580027.0,15063.234585523605
13689.0,53.3,41.97666796573553,590022,590022.0,15322.187923192978
13879.0,55.8,41.17410683333633,600050,600050.0,15591.978160619736
14060.0,55.8,42.538019793556195,610037,610037.0,15851.112144947052
14244.0,54.0,41.87292002501705,620047,620047.0,16108.603657484055
14428.0,55.8,41.731999201877734,630001,630001.0,16362.824188947678
14618.0,58.1,43.580022406626185,640012,640012.0,16619.097009897232
14803.0,50.7,40.734266126117376,650005,650005.0,16877.68095421791
14984.0,55.2,42.75617554397994,660024,660024.0,17132.297176122665
15165.0,57.6,43.151080201730636,670001,670001.0,17390.907090187073
15350.0,56.9,43.603744485427164,680025,680025.0,17645.78947329521
15534.0,60.4,45.480724942516716,690042,690042.0,17904.387659311295
15714.0,52.0,39.70677801130522,700010,700010.0,18162.172958612442
15899.0,52.5,40.25441810881894,710047,710047.0,18423.057551145554
16079.0,57.9,43.20491087370516,720020,720020.0,18680.139224767685
16261.0,51.6,41.87909149635564,730021,730021.0,18938.105210781097
16443.0,53.4,40.97772114517661,740059,740059.0,19196.4617459774
16625.0,53.3,41.36997633042664,750048,750048.0,19452.337109804153
16807.0,50.6,41.3051053940565,760032,760032.0,19705.639621257782
16989.0,55.4,42.258056792465034,770012,770012.0,19963.029950618744
17172.0,56.5,43.70655020390278,780048,780048.0,20216.233538389206
17353.0,60.2,43.69113324685142,790025,790025.0,20474.50808095932
17532.0,52.0,40.358272884518,800002,800002.0,20737.68542098999
17716.0,56.6,42.65640042926334,810014,810014.0,20996.607968091965
17898.0,50.2,39.74632838121307,820025,820025.0,21252.170410871506
18082.0,56.2,42.947228215941735,830030,830030.0,21508.911566734314
18264.0,57.1,45.02251967393581,840008,840008.0,21764.768233537674
