step,episode_reward
0,4.557150841
10006,2.731112003
20025,3.472726107
30066,2.576438904
40021,8.707963943
50029,8.683520317
60099,6.342208862
70019,7.975785255
80059,9.470967293
90095,15.96946526
100417,8.823316574
110073,6.563973904
120082,15.9413662
130136,11.18410206
140002,14.64179707
150090,14.87150288
160205,20.00061226
170172,23.96606064
180125,29.78098488
190138,27.59453773
200164,23.91097069
210220,42.88222504
220055,46.82997894
230026,56.95236206
240015,8.194513321
250557,62.71019745
260104,26.94081116
270097,15.46524334
280008,53.00579071
290064,26.91983604
300252,65.67392731
310172,32.283638
320173,43.0018692
330177,110.177475
340026,86.42749786
350057,83.78691101
360044,56.00641632
370202,62.66572189
380510,137.3207092
390187,71.08608246
400142,116.885788
410041,86.22913361
420161,103.9689713
430130,43.8535881
440374,57.16835785
450325,107.7284164
460161,192.7332001
470589,57.32339478
480773,104.411293
490170,163.9582672
500554,90.56124115
510605,168.6795349
520860,96.79179382
530265,169.5262146
540609,82.08259583
550785,163.0051422
560181,208.1153107
570688,193.3163757
580060,154.8612366
590679,221.114212
600958,84.8032074
610059,131.7060242
620646,176.9985352
630402,173.5625916
640036,169.1071625
650172,145.9085236
660110,198.1672211
670834,159.8750916
680334,211.9811554
690583,166.6143646
700019,66.41297913
710165,212.9497528
720630,186.1712952
730109,135.8413849
740278,199.9728699
750399,191.2433014
760130,169.5280457
770557,247.974884
780324,216.4705353
790512,196.4034729
800444,127.5617905
810415,169.4074707
820664,169.7533722
830609,207.4984436
840488,228.8673401
850678,193.2714539
860951,174.863678
870864,232.5172424
880864,224.8531189
890265,246.8522491
900265,227.0489502
910265,200.1408997
920265,262.6305542
930349,259.914978
940293,240.8385315
950219,291.3905945
960025,307.5652466
970637,231.9596405
980130,223.1993866
990297,294.024353
1000100,310.0434875
1010531,341.2887268
1020242,349.4052124
1030348,349.1630249
1040033,367.3687134
1050623,348.6402283
1060188,347.7562866
1070967,383.0679321
1080076,399.3939514
1090076,349.6256714
1100076,338.988678
1110825,364.8694763
1120752,294.9881592
1130752,370.2666321
1140669,324.6377869
1150638,381.0849915
1160587,412.2866821
1170587,413.283783
1180244,364.271637
1190977,389.1585388
1200977,440.2271118
1210977,405.7131348
1220977,358.6288452
1230977,200.3811798
1240967,407.695282
1250967,428.4172363
1260792,397.7132568
1270626,416.3117065
1280626,461.9604492
1290533,499.8331604
1300273,258.6500854
1310273,493.2767029
1320273,462.8712769
1330273,434.311676
1340181,434.8372498
1350087,458.9632263
1360087,498.6922302
1370087,437.559021
1380068,411.9335938
1390058,434.0671997
1400047,402.0690308
1410047,508.1242065
1420756,433.1280212
1430756,396.5543518
1440756,479.5354614
1450132,396.4188232
1460132,427.1431274
1470132,383.5747375
1480942,411.4764099
1490942,477.4866333
1500942,418.2866211
1510942,433.9651794
1520942,406.0807495
1530916,399.5042114
1540916,455.3603516
1550916,487.3526306
1560916,427.8099976
1570916,457.4321899
1580916,420.3553162
1590916,438.0852966
1600670,444.9754944
1610670,491.5921021
1620670,414.6456909
1630670,373.0878296
1640670,478.1373901
1650670,444.394043
1660670,491.7384644
1670670,427.2493286
1680670,479.1021118
1690670,464.458252
1700670,486.3413086
1710670,457.1444702
1720670,468.6422424
1730670,493.3361816
1740670,477.0635681
1750670,455.7770386
1760670,475.2265625
1770670,460.4183044
1780469,1.8557055
1790868,526.4223022
1800868,461.6087341
1810868,477.2997131
1820851,411.5830994
1830233,188.8347321
1840250,365.3575745
1850366,469.6740112
1860264,497.1601563
1870329,507.8798218
1880248,394.616272
1890400,530.4874268
1900188,430.1582947
1910072,397.7818604
1920680,218.2190704
1930283,404.8118286
1940626,344.8842163
1950279,453.6176147
1960019,254.8162384
1970466,488.5046997
1980818,509.8053589
1990571,574.8492432
