episode,episode_length,episode_reward,frame,step,total_time
232.0,47.3,4.443924830906599,10003,10003.0,111.29930424690247
528.0,54.8,3.3386222776348546,20045,20045.0,349.66937351226807
733.0,45.3,5.913393046521131,30017,30017.0,607.451250076294
936.0,47.3,7.067295574063647,40019,40019.0,863.0537066459656
1154.0,47.0,8.606405403602587,50028,50028.0,1122.6286239624023
1342.0,57.1,11.900378871757416,60018,60018.0,1378.5593104362488
1527.0,61.9,13.765596030142547,70025,70025.0,1636.1713786125183
1717.0,47.2,10.31110475784391,80002,80002.0,1897.2010524272919
1908.0,49.2,10.688983624959862,90028,90028.0,2160.375973701477
2098.0,56.9,11.14768848289992,100004,100004.0,2423.3843166828156
2285.0,53.0,11.23825619991035,110028,110028.0,2686.2685606479645
2453.0,56.3,12.280632205791147,120076,120076.0,2944.648719549179
2619.0,49.3,11.370303929101512,130033,130033.0,3203.6932442188263
2776.0,60.1,13.141901941347797,140049,140049.0,3462.7324526309967
2926.0,63.0,16.000741750477502,150037,150037.0,3720.280539751053
3071.0,75.9,15.76401558159812,160045,160045.0,3986.965471982956
3214.0,77.5,20.498384227540605,170060,170060.0,4247.887722015381
3349.0,71.5,16.38036797298311,180055,180055.0,4506.435561180115
3480.0,73.6,16.732221646065426,190050,190050.0,4771.459148645401
3614.0,71.6,18.295814851416598,200019,200019.0,5030.525968074799
3753.0,64.1,15.18016533542422,210056,210056.0,5292.611830711365
3885.0,76.6,21.559315745660108,220069,220069.0,5551.272003889084
4015.0,93.7,23.32507107435274,230042,230042.0,5810.338178157806
4132.0,56.0,13.841821832876771,240004,240004.0,6067.472040176392
4252.0,72.3,20.61222256698692,250046,250046.0,6327.793800115585
4367.0,90.9,24.84288601619114,260013,260013.0,6590.683702707291
4484.0,74.4,20.206889586671863,270046,270046.0,6858.636975765228
4588.0,78.9,22.19358641057014,280014,280014.0,7119.342506170273
4701.0,90.4,21.96379166994002,290050,290050.0,7378.813758611679
4813.0,90.9,26.013521117430095,300006,300006.0,7646.0271825790405
4940.0,81.8,23.362271181781853,310078,310078.0,7906.177875757217
5049.0,83.9,19.919758623356238,320053,320053.0,8159.750157594681
5157.0,74.0,19.71129876286891,330097,330097.0,8424.38097333908
5270.0,76.4,20.8708130031723,340008,340008.0,8685.311031103134
5369.0,98.8,29.01329588659579,350007,350007.0,8939.912482738495
5471.0,94.7,28.472098741344308,360061,360061.0,9200.019283533096
5566.0,73.9,21.76653931192878,370067,370067.0,9461.422018766403
5664.0,88.0,23.954724259030314,380026,380026.0,9716.612887859344
5756.0,111.8,36.84095742832345,390048,390048.0,9975.50852060318
5845.0,79.9,22.944291960487046,400074,400074.0,10255.720754623413
5922.0,98.6,30.966500748055033,410133,410133.0,10513.035046815872
5986.0,163.0,52.222642570182735,420100,420100.0,10767.584547758102
6052.0,140.8,40.244158595356744,430089,430089.0,11035.010646343231
6103.0,94.6,28.164132677241042,440049,440049.0,11298.740761756897
6163.0,112.5,32.80983409703041,450020,450020.0,11559.06760764122
6211.0,401.2,134.48469264306794,460043,460043.0,11829.410064458847
6271.0,261.6,88.75439840254913,470298,470298.0,12129.61782860756
6320.0,285.1,93.27449071868584,480034,480034.0,12405.153662204742
6373.0,154.6,48.171529156248106,490082,490082.0,12689.334951400757
6417.0,324.3,105.88200052566273,500025,500025.0,12954.627436876297
6458.0,208.2,60.83323588533409,510148,510148.0,13238.208763360977
6495.0,252.9,81.31953663664788,520766,520766.0,13529.246512413025
6528.0,174.5,53.31753753377816,530251,530251.0,13791.447754859924
6573.0,246.3,80.77860229398327,540029,540029.0,14058.41361618042
6618.0,366.9,111.63618711179186,550006,550006.0,14332.282616615295
6644.0,175.9,41.45641791084439,560169,560169.0,14619.608572483063
6669.0,400.0,117.71979532470566,570076,570076.0,14893.933101892471
6693.0,699.6,180.59441702796647,580102,580102.0,15195.07592177391
6710.0,633.8,186.53184093146814,590228,590228.0,15527.124029874802
6739.0,549.7,170.85304778871813,600994,600994.0,15873.821653604507
6756.0,582.5,186.258247944159,610731,610731.0,16170.022104024887
6777.0,438.8,147.2792605770135,620018,620018.0,16462.952370882034
6796.0,352.2,99.9311655760732,630894,630894.0,16783.036954164505
6814.0,719.6,211.51885452933237,640178,640178.0,17053.12237381935
6835.0,541.6,161.25858021010532,650338,650338.0,17392.94640469551
6851.0,278.4,75.84772373829216,660521,660521.0,17702.593871831894
6866.0,696.0,164.62177305278308,670606,670606.0,17978.903084754944
6878.0,892.4,293.918865054276,680021,680021.0,18284.934769630432
6904.0,739.2,230.4390052103833,690761,690761.0,18652.42154955864
6926.0,764.2,240.62008614132205,700407,700407.0,18969.21200442314
6948.0,473.9,158.4533597607647,710634,710634.0,19305.968336343765
6967.0,502.9,154.23218013719065,720386,720386.0,19601.925606012344
6983.0,558.1,164.23353630655996,730053,730053.0,19896.000025510788
6997.0,823.3,270.6854416980459,740467,740467.0,20214.518233060837
7008.0,823.7,239.99161039305994,750222,750222.0,20540.012265205383
7020.0,849.1,298.0146698408899,760905,760905.0,20896.298179149628
7032.0,604.5,192.51771425235296,770025,770025.0,21209.818551540375
7049.0,263.5,80.82831590376607,780073,780073.0,21525.716422080994
7063.0,461.6,138.6431558658004,790596,790596.0,21812.05060338974
7084.0,812.4,250.78629444806478,800101,800101.0,22091.387402057648
7100.0,733.1,201.36477575405218,810641,810641.0,22441.996971845627
7114.0,779.3,214.19023250916067,820069,820069.0,22756.688333272934
7127.0,786.0,235.87693896816677,830439,830439.0,23098.714597463608
7138.0,985.6,311.26238886554194,840898,840898.0,23446.272029399872
