episode,episode_length,episode_reward,frame,step,total_time
509.0,19.2,13.351810312445327,10014,10014.0,137.56165957450867
1026.0,27.6,17.037405842702874,20016,20016.0,490.66894149780273
1374.0,30.7,22.769121468579705,30009,30009.0,853.4640109539032
1686.0,30.8,27.453916599666446,40031,40031.0,1212.8006649017334
1981.0,27.4,22.76433233753942,50024,50024.0,1572.5919570922852
2254.0,33.8,29.849154706068173,60022,60022.0,1925.822735786438
2536.0,36.4,29.96129459835055,70019,70019.0,2285.108387708664
2804.0,40.9,33.38040812594332,80034,80034.0,2643.364194869995
3075.0,39.6,32.00950605423266,90020,90020.0,2997.522541284561
3346.0,40.0,33.86449266605051,100020,100020.0,3355.4594168663025
3611.0,34.2,25.20155538096811,110042,110042.0,3709.1109387874603
3870.0,40.8,34.32152553137479,120031,120031.0,4062.8408331871033
4128.0,37.8,30.800337695841108,130025,130025.0,4419.1172311306
4383.0,37.5,33.06014527231479,140022,140022.0,4776.673366308212
4636.0,40.7,33.975909588238295,150002,150002.0,5128.914297580719
4887.0,38.3,31.822329572963902,160001,160001.0,5489.589310407639
5135.0,43.1,36.52031799301402,170013,170013.0,5843.686524629593
5376.0,42.6,36.02606789744602,180004,180004.0,6196.630691766739
5624.0,43.8,36.647477395835956,190016,190016.0,6546.793014764786
5869.0,40.1,34.38540034070904,200014,200014.0,6900.219316005707
6109.0,40.9,35.27740076369638,210029,210029.0,7260.678761482239
6350.0,45.2,38.03795554198554,220003,220003.0,7610.3337824344635
6588.0,38.0,33.23505680633541,230015,230015.0,7970.49193072319
6825.0,38.9,32.801108018615885,240024,240024.0,8327.825156211853
7062.0,41.5,34.19314718307006,250009,250009.0,8684.048434972763
7299.0,45.1,37.91219454109366,260005,260005.0,9046.927931070328
7535.0,41.8,35.684720254343794,270037,270037.0,9405.932576656342
7768.0,45.9,38.367719341156594,280014,280014.0,9756.750069379807
8000.0,41.4,33.371627872865254,290053,290053.0,10111.233771800995
8228.0,42.9,37.64982759886101,300015,300015.0,10456.674694538116
8463.0,37.7,33.76103534848633,310010,310010.0,10809.988309383392
8692.0,42.8,36.15940777951791,320006,320006.0,11170.651992082596
8921.0,46.3,38.5669407041928,330041,330041.0,11527.856860399246
9150.0,36.3,30.657548350893272,340024,340024.0,11884.618438959122
9382.0,49.2,38.52839114710294,350033,350033.0,12240.609472990036
9606.0,43.3,38.41766362509722,360029,360029.0,12590.59199666977
9829.0,44.1,35.533274636995735,370025,370025.0,12944.548075675964
10056.0,42.8,35.42328025725842,380039,380039.0,13301.904931306839
10290.0,50.2,40.53221630257529,390021,390021.0,13653.354904174805
10519.0,44.0,37.76309765828262,400041,400041.0,14012.524269342422
10741.0,41.4,36.54257896915665,410016,410016.0,14359.695585489273
10970.0,49.2,40.87604847392417,420019,420019.0,14715.616512060165
11194.0,43.6,37.58422978361797,430002,430002.0,15063.692795038223
11423.0,44.2,37.99842298628607,440037,440037.0,15415.500863075256
11649.0,48.7,39.644013675500055,450016,450016.0,15773.303831100464
11874.0,40.9,34.624824523133285,460040,460040.0,16127.835468053818
12100.0,45.4,38.766013397333786,470035,470035.0,16471.842217683792
12324.0,43.2,37.17330281113589,480002,480002.0,16819.968193769455
12552.0,51.4,41.279676513736874,490055,490055.0,17177.060074567795
12768.0,41.5,36.912894116912106,500009,500009.0,17537.1965444088
12990.0,50.4,42.06009422046051,510012,510012.0,17891.267370224
13213.0,39.5,33.969033031103656,520024,520024.0,18238.641847610474
13440.0,46.9,40.31159424567418,530034,530034.0,18582.937376499176
13664.0,42.7,37.74862571103031,540052,540052.0,18937.141773462296
13881.0,47.1,39.86571868499128,550014,550014.0,19288.899135112762
14099.0,41.9,36.89425110732484,560030,560030.0,19640.195115566254
14317.0,52.1,41.44586853318173,570030,570030.0,19991.021708726883
14538.0,51.5,42.53988313023101,580039,580039.0,20339.029313087463
14757.0,41.8,32.81851890177177,590024,590024.0,20692.62442588806
14977.0,44.8,36.19242163712157,600052,600052.0,21048.92386484146
15195.0,47.5,38.313374391137145,610026,610026.0,21407.733223199844
15410.0,51.9,41.77299847912412,620051,620051.0,21765.194567918777
15624.0,48.4,40.833314576206945,630023,630023.0,22122.09558224678
15838.0,44.4,37.41084240534358,640007,640007.0,22475.227438926697
16055.0,43.3,37.0800286521284,650032,650032.0,22831.87222313881
16267.0,50.2,40.833227665640564,660043,660043.0,23184.560251235962
16482.0,44.5,39.47017651755729,670053,670053.0,23542.626238822937
16698.0,45.4,38.25564861964406,680018,680018.0,23893.32324361801
16909.0,48.3,42.77984657424703,690014,690014.0,24254.76753950119
17117.0,44.9,38.68670833801573,700012,700012.0,24602.44357776642
17334.0,49.4,38.174534549787964,710003,710003.0,24948.23157143593
17542.0,48.5,42.237800504571936,720009,720009.0,25302.645703077316
17755.0,46.6,39.56847475817026,730047,730047.0,25664.132390022278
17964.0,47.9,41.47981666347133,740031,740031.0,26021.432547092438
18171.0,44.6,38.6417816657121,750021,750021.0,26368.824971199036
18388.0,45.4,38.26031346210251,760034,760034.0,26724.523025512695
18600.0,49.4,42.66961257694213,770027,770027.0,27080.631365776062
18805.0,44.3,37.397950711681574,780002,780002.0,27443.23869729042
19018.0,45.5,40.11061776903631,790006,790006.0,27798.93913459778
19223.0,50.5,42.366348982453204,800010,800010.0,28147.069848299026
19429.0,51.7,41.74935852771873,810031,810031.0,28498.654675483704
19630.0,47.6,40.103082422372516,820014,820014.0,28852.98708152771
19834.0,52.1,40.52901872762199,830023,830023.0,29201.99530506134
20035.0,48.5,40.929509603411596,840053,840053.0,29555.737552642822
