episode,episode_length,episode_reward,frame,step,total_time
198.0,38.3,3.8024812939523023,10012,10012.0,210.73296451568604
414.0,54.1,8.544121160687075,20091,20091.0,514.0226395130157
598.0,50.4,6.429496704113953,30029,30029.0,810.0903239250183
789.0,61.6,8.3090581837705,40044,40044.0,1113.6182625293732
960.0,60.3,10.089406428104379,50054,50054.0,1414.6444826126099
1131.0,58.5,8.674867311112674,60029,60029.0,1718.484239578247
1289.0,70.1,11.723807892682348,70008,70008.0,2014.150928735733
1444.0,80.7,8.636090359237958,80050,80050.0,2280.035204410553
1606.0,62.6,11.144423835884227,90053,90053.0,2539.5797958374023
1739.0,56.4,10.218365228287265,100040,100040.0,2801.9181072711945
1879.0,57.6,10.587456960106651,110041,110041.0,3067.394701242447
1976.0,57.8,11.42828612965855,120059,120059.0,3332.48708486557
2078.0,51.9,11.710420156560946,130001,130001.0,3597.384710073471
2167.0,56.3,12.30524015177813,140462,140462.0,3880.354192018509
2278.0,58.2,11.706133098762887,150048,150048.0,4134.514541387558
2373.0,146.8,12.197801050591917,160214,160214.0,4408.122024059296
2451.0,54.1,14.192007181801012,170465,170465.0,4697.436963558197
2544.0,145.6,14.159213395819103,180519,180519.0,4967.286227464676
2639.0,58.6,16.86255854508301,190049,190049.0,5233.26692533493
2770.0,71.5,14.04284026300833,200155,200155.0,5501.186797380447
2860.0,51.7,15.433611497160044,210021,210021.0,5767.602167844772
2961.0,249.1,14.466395517072948,220232,220232.0,6037.114499092102
3053.0,60.6,21.252584799380568,230556,230556.0,6331.240069389343
3150.0,72.7,23.871204639313788,240016,240016.0,6588.947601079941
3279.0,101.4,30.49564894679445,250058,250058.0,6860.322597742081
3369.0,81.8,23.481941487366107,260014,260014.0,7140.452004909515
3473.0,68.6,11.937895927637493,270031,270031.0,7418.080446243286
3551.0,85.5,33.483256888694676,280056,280056.0,7695.975116968155
3648.0,99.4,22.899881763567645,290206,290206.0,7982.3656623363495
3772.0,50.7,21.60618070475612,300043,300043.0,8256.87897658348
3917.0,71.5,32.1550031171216,310123,310123.0,8536.996860742569
4046.0,53.0,25.920927700435932,320034,320034.0,8821.82776260376
4208.0,61.9,25.63533340182142,330008,330008.0,9100.853300094604
4355.0,53.7,25.75693062116998,340013,340013.0,9377.91184091568
4507.0,90.1,33.66247626902937,350035,350035.0,9662.735552549362
4652.0,303.2,29.055953612876475,360012,360012.0,9959.18150639534
4786.0,78.5,27.564345715348868,370008,370008.0,10271.729259252548
4912.0,69.2,29.762720360219355,380075,380075.0,10558.17979836464
5045.0,72.0,29.444661734671957,390017,390017.0,10842.975914001465
5175.0,63.0,29.510851587746238,400048,400048.0,11131.78898692131
5303.0,76.0,25.456574661262188,410046,410046.0,11415.96850991249
5432.0,73.0,32.06375406697031,420055,420055.0,11701.30371928215
5568.0,69.7,30.685213723789996,430041,430041.0,11989.501624584198
5707.0,96.5,33.00735900919545,440065,440065.0,12280.688905477524
5846.0,76.1,30.246312306365905,450040,450040.0,12571.759143829346
5990.0,69.7,33.54144396043046,460059,460059.0,12862.359053611755
6132.0,63.0,27.522940852294084,470022,470022.0,13157.410499811172
6266.0,79.6,34.469729724590536,480005,480005.0,13446.30973148346
6409.0,77.2,33.40315367389408,490103,490103.0,13733.331844568253
6540.0,76.1,33.53039162563883,500041,500041.0,14020.644551992416
6680.0,70.3,32.21227605311101,510023,510023.0,14311.394992113113
6823.0,61.5,29.259433303665922,520061,520061.0,14605.81487774849
6957.0,76.3,32.233134073474794,530058,530058.0,14885.881536483765
7092.0,71.7,34.17047454792235,540006,540006.0,15176.4321372509
7232.0,67.2,30.176374526364974,550053,550053.0,15475.737000465393
7367.0,73.8,30.921496116918632,560043,560043.0,15763.961883544922
7499.0,78.6,32.92122836054148,570070,570070.0,16056.873137235641
7631.0,78.4,29.620871783496977,580046,580046.0,16342.953371286392
7756.0,60.4,28.285596611259372,590030,590030.0,16636.29472398758
7883.0,95.5,33.72208638633515,600082,600082.0,16925.748608589172
8008.0,65.8,30.294054821585416,610022,610022.0,17213.790442228317
8137.0,68.6,32.03162225868407,620011,620011.0,17510.35307431221
8266.0,72.8,34.248656362216224,630001,630001.0,17798.465432167053
8397.0,75.2,35.663788189682855,640050,640050.0,18089.298380613327
8525.0,73.3,34.37464487539198,650066,650066.0,18389.09849500656
8650.0,98.9,36.582202433699614,660059,660059.0,18684.75560927391
8772.0,80.3,33.128871435233265,670047,670047.0,18981.520353794098
8891.0,84.5,29.849621195533167,680020,680020.0,19272.53945994377
9016.0,67.4,32.225834375909685,690022,690022.0,19557.87442302704
9146.0,89.0,32.22268522304339,700052,700052.0,19845.388200044632
9277.0,82.1,35.519103505816325,710030,710030.0,20140.491719007492
9404.0,72.9,32.48394992103425,720027,720027.0,20430.50664806366
9540.0,89.1,37.061352964486005,730075,730075.0,20717.647362470627
9670.0,63.9,31.84905742320039,740099,740099.0,21004.095249414444
9799.0,69.7,32.833953097310264,750003,750003.0,21285.707167625427
9939.0,67.9,33.50503894434085,760039,760039.0,21572.93470931053
10075.0,77.3,35.04586128466077,770028,770028.0,21863.276663780212
10213.0,102.3,36.74138989581188,780025,780025.0,22153.40461707115
10348.0,68.9,30.838620297271785,790046,790046.0,22447.14313530922
10485.0,72.4,30.83930351712059,800039,800039.0,22736.50589823723
10623.0,67.0,27.88083664663833,810061,810061.0,23023.054626703262
10757.0,72.4,33.76487562479663,820016,820016.0,23306.003209590912
10884.0,66.3,31.957431436607312,830045,830045.0,23595.035779237747
11014.0,85.0,37.655046223197616,840056,840056.0,23875.14127087593
11149.0,192.4,40.543585774360736,850027,850027.0,24163.95930147171
11286.0,73.7,35.235708486870976,860038,860038.0,24467.741704940796
11416.0,76.3,34.86152599891594,870036,870036.0,24756.06479048729
11548.0,65.5,32.14943139340063,880063,880063.0,25042.09058690071
11681.0,67.0,32.24085572466923,890024,890024.0,25326.034494161606
11816.0,91.2,33.884364660603666,900026,900026.0,25615.27082824707
11940.0,78.3,37.032845803592025,910053,910053.0,25907.120737552643
12057.0,86.9,38.35461693464627,920004,920004.0,26192.773723125458
12186.0,91.6,37.95415796355633,930069,930069.0,26482.195210456848
12313.0,72.9,33.454440926987516,940045,940045.0,26762.340068101883
12442.0,89.7,21.982257332237555,950019,950019.0,27048.050055027008
12570.0,68.1,32.29154016187675,960046,960046.0,27335.569310188293
12694.0,76.8,35.585029811042894,970180,970180.0,27625.386840105057
12823.0,65.7,31.035734759428202,980029,980029.0,27904.308315992355
12962.0,82.2,32.82055291219823,990071,990071.0,28192.094772577286
13099.0,89.4,32.75576760576358,1000023,1000023.0,28480.551815986633
13228.0,58.8,29.145536351215686,1010027,1010027.0,28776.85631132126
13356.0,86.1,24.750064158700848,1020030,1020030.0,29062.48211336136
